#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
147,Bhutan,"62,380",,21 ,,"61,564",,795,,"78,811",27,"2,303,734","2,910,537","791,515 ",Asia,"1337,6910",,,"1,004",
148,Syria,"57,367",,"3,163 ",,"54,195",,9,,"3,101",171,"146,269","7,908","18,497,169 ",Asia,"3225,848126",,,0.5,
149,Burundi,"50,470",,38 ,,"50,183",,249,,"3,967",3,"345,742","27,179","12,721,036 ",Africa,"252334,76437",,,20,
150,Seychelles,"49,380",,171 ,,"48,626",,583,,"494,923","1,714",,,"99,773 ",Africa,2583,,,"5,843",
151,Gabon,"48,945",,306 ,,"48,392",,247,,"20,838",130,"1,619,864","689,646","2,348,834 ",Africa,"487,6761",,,105,
152,Andorra,"46,588",,155 ,,"46,319",,114,14,"600,717","1,999","249,838","3,221,471","77,554 ",Europe,25000,,,"1,470",
153,Papua New Guinea,"45,550",,668 ,,"43,982",,900,7,"4,875",71,"249,149","26,663","9,344,229 ",Australia/Oceania,"20513,98838",,,96,
154,Curaçao,"45,489",,293 ,,"44,720",,476,3,"274,584","1,769","496,693","2,998,177","165,665 ",North America,45650,,,"2,873",
155,Aruba,"43,334",,232 ,,"42,438",,664,2,"401,881","2,152","177,885","1,649,711","107,828 ",North America,24651,,,"6,158",
156,Mauritius,"40,718",,"1,031 ",,"39,006",,681,,"31,893",808,"358,675","280,937","1,276,710 ",Africa,"311,2384",,,533,
157,Mayotte,"40,339",,187 ,,N/A,N/A,N/A,,"139,947",649,"176,919","613,782","288,244 ",Africa,"71,5412",,,"129,016",
158,Tanzania,"40,054",,845 ,,N/A,N/A,N/A,7,629,13,,,"63,722,900 ",Africa,"1,59175,412",,,612,
159,Togo,"39,311",,290 ,,"39,006",,15,,"4,501",33,"798,639","91,445","8,733,519 ",Africa,"22230,11611",,,2,
160,Guinea,"38,047",,456 ,,"37,118",,473,8,"2,724",33,"660,107","47,259","13,967,851 ",Africa,"36730,63121",,,34,
161,Isle of Man,"38,008",,116 ,,N/A,N/A,N/A,,"441,507","1,347","150,753","1,751,170","86,087 ",Europe,27421,,,"128,916",
162,Bahamas,"37,386",,833 ,,"36,270",,283,2,"92,989","2,072","256,731","638,560","402,047 ",North America,114832,,,704,
163,Faeroe Islands,"34,658",,28 ,,N/A,N/A,N/A,5,"703,031",568,"778,000","15,781,573","49,298 ",Europe,"11,7610",,,"546,412",
164,Lesotho,"34,490",,706 ,,"25,980",,"7,804",,"15,806",324,"431,221","197,624","2,182,033 ",Africa,"633,0915",,,"3,576",
165,Haiti,"33,828",,860 ,,"32,729",,239,,"2,884",73,"132,422","11,291","11,728,232 ",North America,"34713,63789",,,20,
166,Mali,"32,738",,742 ,,"31,912",,84,,"1,514",34,"771,560","35,690","21,618,243 ",Africa,"66029,13528",,,4,
167,Cayman Islands,"31,096",,35 ,,"8,553",,"22,508",1,"460,477",518,"222,773","3,298,875","67,530 ",North America,"21,9290",,,"333,304",
168,Saint Lucia,"29,550",,404 ,,"29,095",,51,,"159,219","2,177","210,983","1,136,805","185,593 ",North America,64591,,,275,
